City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
341,kodiak,57.01,-152.3181,279.95,88,35,4.78,US,1700707796
342,inongo,-2.6104,18.417,294.39,99,100,0.76,CD,1700707799
343,muramvya,-3.2856,29.768,289.3,97,100,0.22,BI,1700707803
344,qaqortoq,60.5223,-43.0824,269.3,45,100,3.01,GL,1700707816
345,dalandzadgad,42.7007,103.2275,261.45,33,4,2.7,MN,1700707828
346,pervari,37.8786,42.4366,275.18,44,90,1.26,TR,1700707830
347,cherdyn',59.8941,55.983,265.17,94,100,2.41,RU,1700707832
348,san carlos,17.6803,-91.276,294.66,98,50,3.79,MX,1700707834
349,al kharijah,26.0996,30.4428,287.37,53,5,0.87,EG,1700707849
350,happy valley-goose bay,54.2164,-56.1963,271.78,68,97,8.62,CA,1700707851
351,ust-nera,70.4824,146.9559,234.56,100,70,1.19,RU,1700707858
352,karpinsk,59.8924,59.7437,265.78,95,100,4.07,RU,1700707859
353,aktau,47.8488,72.5969,273.59,84,100,10.14,KZ,1700707866
354,banda aceh,4.7003,94.6917,299.81,79,94,0.05,ID,1700707885
355,nanpara,27.8494,81.5712,291.75,50,0,1.32,IN,1700707891
356,tahe,52.454,124.4119,256.87,39,2,5.14,CN,1700707892
357,abnub,27.5575,31.4104,289.14,49,55,1.82,EG,1700707900
358,stanley,-50.9344,-59.9148,279.64,78,31,6.9,FK,1700707902
359,berbera,11.1128,44.5011,300.66,78,23,6.15,SO,1700707903
360,kalabagh,32.9867,71.6507,291.61,30,0,0.55,PK,1700707910
361,whitehorse,60.9017,-139.2123,258.45,86,97,6.15,CA,1700707914
